ID;num_critic_for_reviews;color;duration;gross;genres;genres;genres;genres;genres;genres;genres;genres;budget;title_year;imdb_score;aspect_ratio;movie_facebook_likes
1;723;Color;178;760505847;Action;Adventure;Fantasy;Sci-Fi;;;;;237000000;2009;7.9;1.78;33000
2;302;Color;169;309404152;Action;Adventure;Fantasy;;;;;;300000000;2007;7.1;2.35;0
3;602;Color;148;200074175;Action;Adventure;Thriller;;;;;;245000000;2015;6.8;2.35;85000
4;813;Color;164;448130642;Action;Thriller;;;;;;;250000000;2012;8.5;2.35;164000
5;;;;;Documentary;;;;;;;;;;7.1;;0
6;462;Color;132;73058679;Action;Adventure;Sci-Fi;;;;;;263700000;2012;6.6;2.35;24000
7;392;Color;156;336530303;Action;Adventure;Romance;;;;;;258000000;2007;6.2;2.35;0
8;324;Color;100;200807262;Adventure;Animation;Comedy;Family;Fantasy;Musical;Romance;;260000000;2010;7.8;1.85;29000
9;635;Color;141;458991599;Action;Adventure;Sci-Fi;;;;;;250000000;2015;7.5;2.35;118000
10;375;Color;153;301956980;Adventure;Family;Fantasy;Mystery;;;;;250000000;2009;7.5;2.35;10000
11;673;Color;183;330249062;Action;Adventure;Sci-Fi;;;;;;250000000;2016;6.9;2.35;197000
12;434;Color;169;200069408;Action;Adventure;Sci-Fi;;;;;;209000000;2006;6.1;2.35;0
13;403;Color;106;168368427;Action;Adventure;;;;;;;200000000;2008;6.7;2.35;0
14;313;Color;151;423032628;Action;Adventure;Fantasy;;;;;;225000000;2006;7.3;2.35;5000
15;450;Color;150;89289910;Action;Adventure;Western;;;;;;215000000;2013;6.5;2.35;48000
16;733;Color;143;291021565;Action;Adventure;Fantasy;Sci-Fi;;;;;225000000;2013;7.2;2.35;118000
17;258;Color;150;141614023;Action;Adventure;Family;Fantasy;;;;;225000000;2008;6.6;2.35;0
18;703;Color;173;623279547;Action;Adventure;Sci-Fi;;;;;;220000000;2012;8.1;1.85;123000
19;448;Color;136;241063875;Action;Adventure;Fantasy;;;;;;250000000;2011;6.7;2.35;58000
20;451;Color;106;179020854;Action;Adventure;Comedy;Family;Fantasy;Sci-Fi;;;225000000;2012;6.8;1.85;40000
21;422;Color;164;255108370;Adventure;Fantasy;;;;;;;250000000;2014;7.5;2.35;65000
22;599;Color;153;262030663;Action;Adventure;Fantasy;;;;;;230000000;2012;7.0;2.35;56000
23;343;Color;156;105219735;Action;Adventure;Drama;History;;;;;200000000;2010;6.7;2.35;17000
24;509;Color;186;258355354;Adventure;Fantasy;;;;;;;225000000;2013;7.9;2.35;83000
25;251;Color;113;70083519;Adventure;Family;Fantasy;;;;;;180000000;2007;6.1;2.35;0
26;446;Color;201;218051260;Action;Adventure;Drama;Romance;;;;;207000000;2005;7.2;2.35;0
27;315;Color;194;658672302;Drama;Romance;;;;;;;200000000;1997;7.7;2.35;26000
28;516;Color;147;407197282;Action;Adventure;Sci-Fi;;;;;;250000000;2016;8.2;2.35;72000
29;377;Color;131;65173160;Action;Adventure;Sci-Fi;Thriller;;;;;209000000;2012;5.9;2.35;44000
30;644;Color;124;652177271;Action;Adventure;Sci-Fi;Thriller;;;;;150000000;2015;7.0;2.0;150000
31;750;Color;143;304360277;Action;Adventure;Thriller;;;;;;200000000;2012;7.8;2.35;80000
32;300;Color;135;373377893;Action;Adventure;Fantasy;Romance;;;;;200000000;2004;7.3;2.35;0
33;608;Color;195;408992272;Action;Adventure;Sci-Fi;;;;;;200000000;2013;7.2;2.35;95000
34;451;Color;108;334185206;Adventure;Family;Fantasy;;;;;;200000000;2010;6.5;1.85;24000
35;334;Color;104;234360014;Action;Adventure;Fantasy;Sci-Fi;Thriller;;;;210000000;2006;6.8;2.35;0
36;376;Color;104;268488329;Adventure;Animation;Comedy;Family;Fantasy;;;;200000000;2013;7.3;1.85;44000
37;366;Color;150;402076689;Action;Adventure;Sci-Fi;;;;;;200000000;2009;6.0;2.35;0
38;378;Color;165;245428137;Action;Adventure;Sci-Fi;;;;;;210000000;2014;5.7;2.35;56000
39;525;Color;130;234903076;Adventure;Family;Fantasy;;;;;;215000000;2013;6.4;2.35;60000
40;495;Color;142;202853933;Action;Adventure;Fantasy;Sci-Fi;;;;;200000000;2014;6.7;2.35;41000
41;469;Color;125;172051787;Action;Adventure;Sci-Fi;;;;;;170000000;2010;6.8;2.35;30000
42;304;Color;106;191450875;Adventure;Animation;Comedy;Family;Sport;;;;200000000;2011;6.3;2.35;10000
43;436;Color;123;116593191;Action;Adventure;Sci-Fi;;;;;;200000000;2011;5.6;2.35;24000
44;453;Color;103;414984497;Adventure;Animation;Comedy;Family;Fantasy;;;;200000000;2010;8.3;1.85;30000
45;422;Color;118;125320003;Action;Adventure;Sci-Fi;;;;;;200000000;2009;6.6;2.35;0
46;424;Color;140;350034110;Action;Crime;Thriller;;;;;;190000000;2015;7.2;2.35;94000
47;654;Color;123;202351611;Action;Adventure;Horror;Sci-Fi;Thriller;;;;190000000;2013;7.0;2.35;129000
